STNAME,Iodised_Salt,Non_Iodised_Salt ,Children_living_in_iodized_salt_households_below_5_years
Arunachal Pradesh,99.2,0.8,99.3
Assam,98.8,1.2,98.3
Chandigarh ,96.8,3.2,98.1
Chattisgarh,98.5,1.5,98.2
Delhi ,96.8,3.2,98.2
Goa,97.6,2.4,97.8
Haryana,96.1,3.9,96.4
Himachal Pradesh,99.1,0.9,99.2
Jharkhand,97.7,2.3,97.4
Karnataka,92.8,7.2,91.5
Manipur,99.3,0.7,99.4
Meghalaya,90.6,9.4,90.9
Mizoram,99,1,99.1
Nagaland,98.9,1.1,99.5
Punjab,94.8,5.2,95.1
Rajasthan ,94.2,5.8,94
Sikkim,98.2,1.8,98.1
Tripura,99.5,0.5,99.4
Uttrakhand,93.2,6.8,93
Telangana,95.8,4.2,96.1
Andaman & Nicobar Islands,99.7,0.3,100
Bihar,93.3,6.7,93.1
Gujarat,95.6,4.4,94.5
Kerala,99.3,0.7,99.5
Lakshadweep,96.7,3.3,97
Madhya Pradesh,95.3,4.7,95.1
Odisha,98,2,98.1
Tamil Nadu,92,8,92.7
Uttar Pradesh,92.5,7.5,92
West Bengal,94.5,5.5,94
Andhra Pradesh,83.1,16.9,82.5
Puducherry,93.3,6.7,94.3
Maharashtra,96.2,3.8,95.9
Daman & Diu,89.1,10.9,87
Dadra and Nagar Haveli,89.1,10.9,87
Ladakh,98.8,1.2,98.7
Jammu & Kashmir,98.1,1.9,97.8
